File Name,DLL
agentservice.exe,ACTIVEDS.dll
agentservice.exe,adsldpc.dll
agentservice.exe,FLTLIB.DLL
applytrustoffline.exe,mintdh.dll
applytrustoffline.exe,StateRepository.Core.dll
arp.exe,IPHLPAPI.DLL
arp.exe,snmpapi.dll
at.exe,cryptdll.dll
at.exe,netutils.dll
at.exe,NtlmShared.dll
at.exe,schedcli.dll
at.exe,sspicli.dll
auditpol.exe,auditpolcore.dll
baaupdate.exe,FVEAPI.dll
bdechangepin.exe,FVEAPI.dll
bdeuisrv.exe,USERENV.dll
bdeuisrv.exe,WTSAPI32.dll
bioiso.exe,iumbase.DLL
bootim.exe,bcd.dll
bootim.exe,BootMenuUX.DLL
bootim.exe,Cabinet.dll
bootim.exe,dbghelp.dll
bootim.exe,DismApi.DLL
bootim.exe,FLTLIB.DLL
bootim.exe,OLEACC.dll
bootim.exe,PROPSYS.dll
bootim.exe,ReAgent.dll
bootim.exe,ResetEng.dll
bootim.exe,tbs.dll
bootim.exe,VirtDisk.dll
bootim.exe,VSSAPI.DLL
bootim.exe,VssTrace.DLL
bootim.exe,WDSCORE.dll
calc.exe,CRYPTBASE.DLL
calc.exe,edputil.dll
calc.exe,MLANG.dll
calc.exe,PROPSYS.dll
calc.exe,Secur32.dll
calc.exe,SSPICLI.DLL
calc.exe,WININET.dll
calc.exe,WindowsCodecs.dll
certreq.exe,cscapi.dll
certreq.exe,DUI70.dll
certreq.exe,dwmapi.dll
certreq.exe,LINKINFO.dll
certreq.exe,SSPICLI.DLL
certreq.exe,WindowsCodecs.dll
certreq.exe,WININET.dll
certreq.exe,XmlLite.dll
certutil.exe,Cabinet.dll
certutil.exe,CRYPTUI.dll
certutil.exe,DSROLE.DLL
certutil.exe,LOGONCLI.DLL
certutil.exe,NETUTILS.DLL
certutil.exe,NTDSAPI.dll
certutil.exe,SAMCLI.DLL
certutil.exe,SSPICLI.DLL
change.exe,logoncli.dll
change.exe,netutils.dll
change.exe,samcli.dll
change.exe,srvcli.dll
change.exe,utildll.dll
change.exe,WINSTA.dll
charmap.exe,GetUName.dll
charmap.exe,MSFTEDIT.DLL
checknetisolation.exe,DNSAPI.dll
checknetisolation.exe,FirewallAPI.dll
checknetisolation.exe,fwbase.dll
checknetisolation.exe,fwpuclnt.dll
chglogon.exe,logoncli.dll
chglogon.exe,netutils.dll
chglogon.exe,REGAPI.dll
chglogon.exe,samcli.dll
chglogon.exe,srvcli.dll
chglogon.exe,utildll.dll
chglogon.exe,WINSTA.dll
chgport.exe,logoncli.dll
chgport.exe,netutils.dll
chgport.exe,samcli.dll
chgport.exe,srvcli.dll
chgport.exe,utildll.dll
chgport.exe,WINSTA.dll
chkdsk.exe,DEVOBJ.dll
chkntfs.exe,DEVOBJ.dll
cipher.exe,DSROLE.dll
cipher.exe,EFSUTIL.dll
cipher.exe,FeClient.dll
cipher.exe,iertutil.dll
cipher.exe,NTDSAPI.dll
cipher.exe,VAULTCLI.dll
clipup.exe,CRYPTXML.dll
clipup.exe,webservices.dll
cmdl32.exe,Cabinet.dll
cmdl32.exe,cmpbk32.dll
cmdl32.exe,RASAPI32.dll
cmdl32.exe,rasman.dll
cmdl32.exe,WINHTTP.dll
colorcpl.exe,ColorAdapterClient.dll
colorcpl.exe,colorui.dll
colorcpl.exe,IPHLPAPI.DLL
colorcpl.exe,mscms.dll
colorcpl.exe,PROPSYS.dll
colorcpl.exe,USERENV.dll
compmgmtlauncher.exe,apphelp.dll
compmgmtlauncher.exe,CLDAPI.dll
compmgmtlauncher.exe,CRYPTBASE.dll
compmgmtlauncher.exe,edputil.dll
compmgmtlauncher.exe,FLTLIB.DLL
compmgmtlauncher.exe,PROPSYS.dll
ctfmon.exe,MsCtfMonitor.DLL
ctfmon.exe,MSUTB.dll
ctfmon.exe,WINSTA.dll
cttune.exe,DWrite.dll
cttune.exe,OLEACC.dll
cttune.exe,UxTheme.dll
dataexchangehost.exe,d2d1.dll
dataexchangehost.exe,d3d11.dll
dataexchangehost.exe,DWrite.dll
dataexchangehost.exe,dxgi.dll
datausagelivetiletask.exe,dusmapi.dll
datausagelivetiletask.exe,IPHLPAPI.DLL
ddodiag.exe,XmlLite.dll
deploymentcsphelper.exe,dbgcore.DLL
deploymentcsphelper.exe,DismApi.DLL
deploymentcsphelper.exe,WDSCORE.dll
devicecensus.exe,dcntel.dll
devicecensus.exe,IPHLPAPI.DLL
devicecensus.exe,logoncli.dll
devicecensus.exe,netutils.dll
devicecensus.exe,WINHTTP.dll
devicecredentialdeployment.exe,DeviceCredential.dll
deviceenroller.exe,DEVOBJ.dll
deviceenroller.exe,DMCmnUtils.dll
deviceenroller.exe,dmEnrollEngine.DLL
deviceenroller.exe,dmenterprisediagnostics.dll
deviceenroller.exe,iri.dll
deviceenroller.exe,netutils.dll
deviceenroller.exe,omadmapi.dll
deviceenroller.exe,samcli.dll
deviceenroller.exe,USERENV.dll
deviceenroller.exe,XmlLite.dll
devicepairingwizard.exe,dwmapi.dll
devicepairingwizard.exe,OLEACC.dll
dfrgui.exe,SXSHARED.dll
dialer.exe,rtutils.dll
dialer.exe,SspiCli.dll
dialer.exe,TAPI32.dll
disksnapshot.exe,CRYPTBASE.dll
dispdiag.exe,DEVOBJ.dll
dispdiag.exe,DXVA2.dll
dispdiag.exe,WMICLNT.dll
displayswitch.exe,dwmapi.dll
displayswitch.exe,policymanager.dll
displayswitch.exe,UxTheme.dll
displayswitch.exe,WINSTA.dll
djoin.exe,dbgcore.DLL
djoin.exe,JOINUTIL.DLL
djoin.exe,logoncli.dll
djoin.exe,netutils.dll
djoin.exe,wdscore.dll
djoin.exe,wkscli.dll
dmcertinst.exe,certenroll.dll
dmcertinst.exe,DMCmnUtils.dll
dmcertinst.exe,DSPARSE.dll
dmcertinst.exe,iri.dll
dmcertinst.exe,omadmapi.dll
dmcfghost.exe,DMCmnUtils.dll
dmcfghost.exe,DMPushProxy.dll
dmcfghost.exe,dmxmlhelputils.dll
dmcfghost.exe,dsclient.dll
dmcfghost.exe,iri.dll
dmcfghost.exe,omadmapi.dll
dmcfghost.exe,XmlLite.dll
dmclient.exe,WINHTTP.dll
dmclient.exe,XmlLite.dll
dmnotificationbroker.exe,DMCmnUtils.dll
dmomacpmo.exe,DEVOBJ.dll
dmomacpmo.exe,DMCmnUtils.dll
dmomacpmo.exe,dmEnrollEngine.DLL
dmomacpmo.exe,DMProcessXMLFiltered.dll
dmomacpmo.exe,dsclient.dll
dmomacpmo.exe,iri.dll
dmomacpmo.exe,omadmapi.dll
dmomacpmo.exe,USERENV.dll
dmomacpmo.exe,XmlLite.dll
dnscacheugc.exe,dbgcore.DLL
dnscacheugc.exe,IPHLPAPI.DLL
dnscacheugc.exe,wdscore.dll
dpapimig.exe,netutils.dll
dpapimig.exe,samcli.dll
dpapimig.exe,SAMLIB.dll
dpiscaling.exe,CLDAPI.dll
dpiscaling.exe,CRYPTBASE.DLL
dpiscaling.exe,edputil.dll
dpiscaling.exe,FLTLIB.DLL
dpiscaling.exe,PROPSYS.dll
driverquery.exe,netutils.dll
driverquery.exe,srvcli.dll
driverquery.exe,SspiCli.dll
drvinst.exe,DEVOBJ.dll
drvinst.exe,DEVRTL.dll
dsregcmd.exe,dsreg.dll
dsregcmd.exe,logoncli.dll
dsregcmd.exe,netutils.dll
dsregcmd.exe,PROPSYS.dll
dsregcmd.exe,SSPICLI.DLL
dsregcmd.exe,USERENV.dll
dsregcmd.exe,WINHTTP.dll
dsregcmd.exe,WININET.dll
dsregcmd.exe,wkscli.dll
dstokenclean.exe,dsclient.dll
dwm.exe,CoreMessaging.dll
dwm.exe,d2d1.dll
dwm.exe,d3d11.dll
dwm.exe,D3DCOMPILER_47.dll
dwm.exe,dwmcore.dll
dwm.exe,dxgi.dll
dwwin.exe,wer.dll
dxgiadaptercache.exe,d3d11.dll
dxgiadaptercache.exe,d3d12.dll
dxgiadaptercache.exe,dxgi.dll
dxpserver.exe,dwmapi.dll
dxpserver.exe,msi.dll
dxpserver.exe,PROPSYS.dll
dxpserver.exe,XmlLite.dll
easeofaccessdialog.exe,OLEACC.dll
edpcleanup.exe,DMCmnUtils.dll
edpcleanup.exe,DNSAPI.dll
edpcleanup.exe,FirewallAPI.dll
edpcleanup.exe,fwbase.dll
edpcleanup.exe,netutils.dll
edpcleanup.exe,policymanager.dll
edpcleanup.exe,SspiCli.dll
edpcleanup.exe,wkscli.dll
eduprintprov.exe,deviceassociation.dll
eduprintprov.exe,policymanager.dll
eduprintprov.exe,SspiCli.dll
efsui.exe,credui.dll
efsui.exe,CRYPTBASE.DLL
efsui.exe,CRYPTUI.dll
efsui.exe,DSROLE.dll
efsui.exe,EFSADU.dll
efsui.exe,EFSUTIL.dll
efsui.exe,FeClient.dll
efsui.exe,logoncli.dll
efsui.exe,netutils.dll
efsui.exe,USERENV.dll
efsui.exe,VAULTCLI.dll
ehstorauthn.exe,UxTheme.dll
esentutl.exe,ESENT.dll
eventcreate.exe,netutils.dll
eventcreate.exe,srvcli.dll
eventcreate.exe,SspiCli.dll
expand.exe,Cabinet.dll
extrac32.exe,Cabinet.dll
fhmanagew.exe,fhsvcctl.dll
filehistory.exe,CRYPTBASE.dll
filehistory.exe,UxTheme.dll
fixmapi.exe,mapistub.dll
fltmc.exe,FLTLIB.DLL
fondue.exe,msi.dll
fondue.exe,osbaseln.dll
fondue.exe,PROPSYS.dll
fsiso.exe,iumbase.DLL
fsquirt.exe,DEVOBJ.dll
fsquirt.exe,dwmapi.dll
fsquirt.exe,OLEACC.dll
ftp.exe,SspiCli.dll
fvenotify.exe,FVEAPI.dll
fveprompt.exe,FVEAPI.dll
fxscover.exe,IPHLPAPI.DLL
fxssvc.exe,credui.dll
fxssvc.exe,FXSTIFF.dll
fxssvc.exe,IPHLPAPI.DLL
fxssvc.exe,PROPSYS.dll
fxssvc.exe,TAPI32.dll
gamepanel.exe,d2d1.dll
gamepanel.exe,d3d11.dll
gamepanel.exe,dcomp.dll
gamepanel.exe,dwmapi.dll
gamepanel.exe,DWrite.dll
gamepanel.exe,dxgi.dll
gamepanel.exe,msdrm.dll
gamepanel.exe,UIAutomationCore.DLL
gamepanel.exe,UxTheme.dll
genvalobj.exe,bcd.dll
getmac.exe,netutils.dll
getmac.exe,srvcli.dll
getmac.exe,SspiCli.dll
getmac.exe,wkscli.dll
gpresult.exe,logoncli.dll
gpresult.exe,netutils.dll
gpresult.exe,NTDSAPI.dll
gpresult.exe,Secur32.dll
gpresult.exe,srvcli.dll
gpresult.exe,SspiCli.dll
gpupdate.exe,USERENV.dll
gpupdate.exe,wevtapi.dll
hvax64.exe,KDSTUB.dll
hvix64.exe,KDSTUB.dll
hvsievaluator.exe,DismApi.DLL
hvsievaluator.exe,DMCmnUtils.dll
hvsievaluator.exe,iri.dll
hvsievaluator.exe,omadmapi.dll
hvsievaluator.exe,policymanager.dll
ie4uinit.exe,CRYPTBASE.DLL
ie4uinit.exe,IEADVPACK.dll
ie4uinit.exe,iedkcs32.dll
ie4uinit.exe,MLANG.dll
ie4uinit.exe,netutils.dll
ie4uinit.exe,WININET.dll
ie4uinit.exe,wkscli.dll
ieunatt.exe,dbgcore.DLL
klist.exe,secur32.dll
ksetup.exe,logoncli.dll
ksetup.exe,netutils.dll
ksetup.exe,srvcli.dll
ksetup.exe,SspiCli.dll
label.exe,DEVOBJ.dll
licensingdiag.exe,Cabinet.dll
licensingdiag.exe,CLIPC.dll
lockscreencontentserver.exe,dwmapi.dll
lpksetup.exe,CRYPTBASE.dll
lpksetup.exe,dpx.dll
lpremove.exe,AppXAllUserStore.dll
lpremove.exe,AppXDeploymentClient.dll
lpremove.exe,Bcp47Langs.dll
lpremove.exe,DNSAPI.dll
lpremove.exe,FirewallAPI.dll
lpremove.exe,fwbase.dll
lpremove.exe,StateRepository.Core.dll
magnify.exe,d3d9.dll
magnify.exe,MAGNIFICATION.dll
magnify.exe,OLEACC.dll
magnify.exe,UIAutomationCore.DLL
magnify.exe,WTSAPI32.dll
makecab.exe,Cabinet.dll
mcbuilder.exe,bcp47mrm.dll
mcbuilder.exe,mrmcoreR.dll
mdeserver.exe,d3d11.dll
mdeserver.exe,dxgi.dll
mdeserver.exe,MFPlat.DLL
mdeserver.exe,RTWorkQ.DLL
mdeserver.exe,SspiCli.dll
mdeserver.exe,winmde.dll
mdmappinstaller.exe,DEVOBJ.dll
mdmappinstaller.exe,DMCmnUtils.dll
mdmappinstaller.exe,dmEnrollEngine.DLL
mdmappinstaller.exe,iri.dll
mdmappinstaller.exe,msi.dll
mdmappinstaller.exe,omadmapi.dll
mdmappinstaller.exe,USERENV.dll
mdmappinstaller.exe,WTSAPI32.dll
mdmdiagnosticstool.exe,DEVOBJ.dll
mdmdiagnosticstool.exe,DMCmnUtils.dll
mdmdiagnosticstool.exe,dmEnrollEngine.DLL
mdmdiagnosticstool.exe,dmiso8601utils.dll
mdmdiagnosticstool.exe,DynamoAPI.dll
mdmdiagnosticstool.exe,iri.dll
mdmdiagnosticstool.exe,MdmDiagnostics.dll
mdmdiagnosticstool.exe,omadmapi.dll
mdmdiagnosticstool.exe,policymanager.dll
mdmdiagnosticstool.exe,tbs.dll
mdmdiagnosticstool.exe,USERENV.dll
mdmdiagnosticstool.exe,WINHTTP.dll
mdmdiagnosticstool.exe,WININET.dll
mdmdiagnosticstool.exe,XmlLite.dll
mfpmp.exe,CRYPTBASE.DLL
mfpmp.exe,ksuser.dll
mfpmp.exe,MFCORE.dll
mfpmp.exe,MFPlat.DLL
mfpmp.exe,RTWorkQ.DLL
microsoft.uev.cscunpintool.exe,CSCAPI.dll
microsoftedgebchost.exe,iertutil.dll
microsoftedgebchost.exe,USERENV.dll
microsoftedgecp.exe,iertutil.dll
microsoftedgecp.exe,USERENV.dll
microsoftedgedevtools.exe,iertutil.dll
microsoftedgesh.exe,USERENV.dll
mobsync.exe,edputil.dll
mobsync.exe,PROPSYS.dll
mousocoreworker.exe,winsqlite3.dll
msdtc.exe,CLUSAPI.dll
msdtc.exe,DNSAPI.dll
msdtc.exe,ktmw32.dll
msdtc.exe,MSDTCTM.dll
msdtc.exe,MTXCLU.DLL
msdtc.exe,RESUTILS.dll
msdtc.exe,XOLEHLP.dll
msg.exe,WINSTA.dll
mshta.exe,CRYPTBASE.DLL
mshta.exe,netutils.dll
mshta.exe,srpapi.dll
mshta.exe,SspiCli.dll
mshta.exe,WINHTTP.dll
mshta.exe,wkscli.dll
mshta.exe,WLDP.DLL
msiexec.exe,msi.dll
msinfo32.exe,ATL.DLL
msinfo32.exe,SLC.dll
msinfo32.exe,sppc.dll
mspaint.exe,MSFTEDIT.DLL
mspaint.exe,PROPSYS.dll
msra.exe,IPHLPAPI.DLL
msra.exe,NDFAPI.DLL
msra.exe,SspiCli.dll
msra.exe,USERENV.dll
msra.exe,UxTheme.dll
msra.exe,wdi.dll
mstsc.exe,credui.dll
mstsc.exe,CRYPTBASE.DLL
mstsc.exe,CRYPTUI.dll
mstsc.exe,IPHLPAPI.DLL
mstsc.exe,ktmw32.dll
mstsc.exe,NETUTILS.DLL
mstsc.exe,SSPICLI.DLL
mstsc.exe,WINHTTP.dll
mstsc.exe,WININET.dll
mstsc.exe,WKSCLI.DLL
mtstocom.exe,SspiCli.dll
muiunattend.exe,dbgcore.DLL
muiunattend.exe,SspiCli.dll
muiunattend.exe,wdscore.dll
musnotification.exe,Cabinet.dll
musnotification.exe,UpdatePolicy.dll
musnotification.exe,UPShared.dll
musnotification.exe,USERENV.dll
musnotification.exe,WINHTTP.dll
musnotification.exe,WINSTA.dll
musnotificationux.exe,Cabinet.dll
musnotificationux.exe,DMCmnUtils.dll
musnotificationux.exe,UpdatePolicy.dll
musnotificationux.exe,UPShared.dll
musnotificationux.exe,WINHTTP.dll
musnotificationux.exe,XmlLite.dll
musnotifyicon.exe,DMCmnUtils.dll
musnotifyicon.exe,UPShared.dll
musnotifyicon.exe,WINHTTP.dll
musnotifyicon.exe,XmlLite.dll
nbtstat.exe,IPHLPAPI.DLL
net.exe,IPHLPAPI.DLL
net.exe,netutils.dll
net.exe,samcli.dll
net.exe,srvcli.dll
net.exe,wkscli.dll
net1.exe,CRYPTBASE.dll
net1.exe,DSROLE.dll
net1.exe,logoncli.dll
net1.exe,netutils.dll
net1.exe,samcli.dll
net1.exe,srvcli.dll
net1.exe,wkscli.dll
netbtugc.exe,dbgcore.DLL
netbtugc.exe,IPHLPAPI.DLL
netbtugc.exe,wdscore.dll
nethost.exe,RASAPI32.dll
nethost.exe,rasman.dll
nethost.exe,rtutils.dll
netiougc.exe,dbgcore.DLL
netiougc.exe,dhcpcsvc.DLL
netiougc.exe,IPHLPAPI.DLL
netiougc.exe,wdscore.dll
netsh.exe,adsldpc.dll
netsh.exe,AUTHFWCFG.DLL
netsh.exe,Cabinet.dll
netsh.exe,CRYPTBASE.DLL
netsh.exe,DHCPCMONITOR.DLL
netsh.exe,dhcpcsvc.DLL
netsh.exe,dhcpcsvc6.DLL
netsh.exe,DNSAPI.dll
netsh.exe,dot3api.dll
netsh.exe,DOT3CFG.DLL
netsh.exe,eappcfg.dll
netsh.exe,eappprxy.dll
netsh.exe,FirewallAPI.dll
netsh.exe,fwbase.dll
netsh.exe,FWCFG.DLL
netsh.exe,FWPolicyIOMgr.dll
netsh.exe,fwpuclnt.dll
netsh.exe,HNETMON.DLL
netsh.exe,HTTPAPI.dll
netsh.exe,IFMON.DLL
netsh.exe,IPHLPAPI.DLL
netsh.exe,ktmw32.dll
netsh.exe,mintdh.dll
netsh.exe,MobileNetworking.dll
netsh.exe,NDFAPI.DLL
netsh.exe,NETIOHLP.DLL
netsh.exe,netshell.dll
netsh.exe,NETTRACE.DLL
netsh.exe,nlaapi.dll
netsh.exe,NSHHTTP.DLL
netsh.exe,NSHIPSEC.DLL
netsh.exe,NSHWFP.DLL
netsh.exe,OneX.DLL
netsh.exe,P2P.dll
netsh.exe,P2PNETSH.DLL
netsh.exe,PEERDISTSH.DLL
netsh.exe,POLSTORE.DLL
netsh.exe,RASAPI32.dll
netsh.exe,rasman.dll
netsh.exe,RASMONTR.DLL
netsh.exe,RMCLIENT.dll
netsh.exe,RPCNSH.DLL
netsh.exe,SLC.dll
netsh.exe,sppc.dll
netsh.exe,SspiCli.dll
netsh.exe,USERENV.dll
netsh.exe,wcmapi.dll
netsh.exe,WCNNETSH.DLL
netsh.exe,wdi.dll
netsh.exe,wevtapi.dll
netsh.exe,WHHELPER.DLL
netsh.exe,WINHTTP.dll
netsh.exe,WINIPSEC.DLL
netsh.exe,WINNSI.DLL
netsh.exe,wlanapi.dll
netsh.exe,WLANCFG.DLL
netsh.exe,WSHELPER.DLL
netsh.exe,WWANCFG.DLL
netsh.exe,wwapi.dll
netstat.exe,IPHLPAPI.DLL
netstat.exe,snmpapi.dll
ngciso.exe,iumbase.DLL
nltest.exe,logoncli.dll
nltest.exe,netutils.dll
nltest.exe,NTDSAPI.dll
nslookup.exe,DNSAPI.dll
omadmclient.exe,DEVOBJ.dll
omadmclient.exe,DMCfgUtils.dll
omadmclient.exe,DMCmnUtils.dll
omadmclient.exe,dmEnrollEngine.DLL
omadmclient.exe,dmenterprisediagnostics.dll
omadmclient.exe,dmiso8601utils.dll
omadmclient.exe,DMOleAutUtils.dll
omadmclient.exe,dmxmlhelputils.dll
omadmclient.exe,IPHLPAPI.DLL
omadmclient.exe,iri.dll
omadmclient.exe,omadmapi.dll
omadmclient.exe,policymanager.dll
omadmclient.exe,USERENV.dll
omadmclient.exe,XmlLite.dll
openfiles.exe,netutils.dll
openfiles.exe,srvcli.dll
openfiles.exe,SspiCli.dll
osk.exe,AUDIOSES.DLL
osk.exe,AVRT.dll
osk.exe,DEVOBJ.dll
osk.exe,dwmapi.dll
osk.exe,ksuser.dll
osk.exe,midimap.dll
osk.exe,MMDevAPI.DLL
osk.exe,MSACM32.dll
osk.exe,OLEACC.dll
osk.exe,OskSupport.dll
osk.exe,WindowsCodecs.dll
osk.exe,WMsgAPI.dll
pacjsworker.exe,WINHTTP.dll
packageinspector.exe,msi.dll
packageinspector.exe,SLC.dll
packageinspector.exe,sppc.dll
packageinspector.exe,wevtapi.dll
pathping.exe,IPHLPAPI.DLL
pcalua.exe,pcaui.dll
pcalua.exe,wer.dll
pinenrollmentbroker.exe,PROPSYS.dll
pinenrollmentbroker.exe,SspiCli.dll
pktmon.exe,mintdh.dll
plasrv.exe,Cabinet.dll
plasrv.exe,mintdh.dll
plasrv.exe,pdh.dll
plasrv.exe,tdh.dll
plasrv.exe,wevtapi.dll
pnpunattend.exe,dbgcore.DLL
pnpunattend.exe,DEVRTL.dll
pnpunattend.exe,newdev.dll
pnpunattend.exe,wdscore.dll
presentationhost.exe,CRYPTBASE.DLL
presentationhost.exe,mscoree.dll
presentationhost.exe,WININET.dll
presentationsettings.exe,SspiCli.dll
printbrmui.exe,IPHLPAPI.DLL
printbrmui.exe,PROPSYS.dll
psr.exe,AEPIC.dll
psr.exe,CLDAPI.dll
psr.exe,FLTLIB.DLL
psr.exe,HID.DLL
psr.exe,msdrm.dll
psr.exe,OLEACC.dll
psr.exe,SspiCli.dll
psr.exe,uireng.dll
psr.exe,XmlLite.dll
query.exe,logoncli.dll
query.exe,netutils.dll
query.exe,REGAPI.dll
query.exe,samcli.dll
query.exe,srvcli.dll
query.exe,utildll.dll
query.exe,WINSTA.dll
quickassist.exe,ATL.DLL
